elapsed_s,stream,joint,deg
42.6523,maxon,left_wrist,31.390
42.6524,maxon,right_wrist,-37.223
42.6528,maxon,left_wrist,30.975
42.6530,maxon,right_wrist,-37.371
42.6534,arm,left_elbow,-81.065
42.6541,maxon,left_wrist,30.561
42.6543,maxon,right_wrist,-37.517
42.6546,arm,left_shoulder_2,20.903
42.6546,arm,left_elbow,-80.962
42.6555,maxon,left_wrist,30.144
42.6557,maxon,right_wrist,-37.665
42.6561,maxon,left_wrist,29.730
42.6563,maxon,right_wrist,-37.813
42.6566,arm,left_shoulder_2,20.980
42.6566,arm,left_elbow,-80.740
42.6573,maxon,left_wrist,29.315
42.6575,maxon,right_wrist,-37.959
42.6579,maxon,left_wrist,28.881
42.6581,maxon,right_wrist,-38.092
42.6584,arm,left_shoulder_2,21.049
42.6584,arm,left_elbow,-80.541
42.6584,arm,right_elbow,83.179
42.6592,maxon,left_wrist,28.446
42.6594,maxon,right_wrist,-38.225
42.6598,arm,left_shoulder_2,21.099
42.6598,arm,left_elbow,-80.394
42.6605,maxon,left_wrist,28.012
42.6606,maxon,right_wrist,-38.358
42.6610,maxon,left_wrist,27.578
42.6612,maxon,right_wrist,-38.489
42.6616,arm,left_elbow,-80.266
42.6625,maxon,left_wrist,27.143
42.6627,maxon,right_wrist,-38.622
42.6631,maxon,left_wrist,26.689
42.6632,maxon,right_wrist,-38.740
42.6636,arm,left_shoulder_2,21.196
42.6636,arm,left_elbow,-80.121
42.6642,maxon,left_wrist,26.234
42.6644,maxon,right_wrist,-38.858
42.6648,arm,left_elbow,-80.032
42.6655,maxon,left_wrist,25.780
42.6657,maxon,right_wrist,-38.973
42.6661,maxon,left_wrist,25.328
42.6663,maxon,right_wrist,-39.091
42.6666,arm,left_shoulder_2,21.271
42.6666,arm,left_elbow,-79.910
42.6676,maxon,left_wrist,24.873
42.6678,maxon,right_wrist,-39.209
42.6682,maxon,left_wrist,24.398
42.6684,maxon,right_wrist,-39.312
42.6687,arm,left_elbow,-79.769
42.6687,arm,right_elbow,83.126
42.6694,maxon,left_wrist,23.926
42.6696,maxon,right_wrist,-39.415
42.6701,maxon,left_wrist,23.452
42.6706,maxon,right_wrist,-39.518
42.6711,maxon,left_wrist,22.980
42.6713,maxon,right_wrist,-39.621
42.6717,arm,left_shoulder_2,21.386
42.6717,arm,left_elbow,-79.586
42.6725,maxon,left_wrist,22.505
42.6726,maxon,right_wrist,-39.724
42.6730,maxon,left_wrist,22.013
42.6732,maxon,right_wrist,-39.812
42.6736,arm,left_elbow,-79.470
42.6742,maxon,left_wrist,21.521
42.6744,maxon,right_wrist,-39.900
42.6747,neck,head_2,-18.896
42.6748,arm,left_shoulder_2,21.455
42.6748,arm,left_elbow,-79.392
42.6757,maxon,left_wrist,21.026
42.6758,maxon,right_wrist,-39.985
42.6763,maxon,left_wrist,20.534
42.6765,maxon,right_wrist,-40.073
42.6769,maxon,left_wrist,20.042
42.6771,maxon,right_wrist,-40.161
42.6775,neck,head_2,-18.721
42.6776,arm,left_shoulder_2,21.512
42.6776,arm,left_elbow,-79.234
42.6784,maxon,left_wrist,19.529
42.6786,maxon,right_wrist,-40.236
42.6790,maxon,left_wrist,19.017
42.6792,maxon,right_wrist,-40.309
42.6795,neck,head_2,-18.545
42.6796,arm,left_elbow,-79.127
42.6796,arm,right_elbow,83.072
42.6805,maxon,left_wrist,18.505
42.6807,maxon,right_wrist,-40.382
42.6811,maxon,left_wrist,17.992
42.6812,maxon,right_wrist,-40.455
