elapsed_s,stream,joint,deg
14.5524,maxon,pedal_left,0.000
14.5527,maxon,left_wrist,90.000
14.5530,maxon,pedal_right,0.000
14.5531,maxon,right_wrist,-90.000
14.5564,arm,left_shoulder_1,90.000
14.5564,arm,left_shoulder_2,0.000
14.5564,arm,left_elbow,-90.000
14.5564,arm,waist_joint,10.000
14.5564,arm,right_shoulder_1,90.000
14.5564,arm,right_shoulder_2,0.000
14.5564,arm,right_elbow,90.000
15.5567,maxon,left_wrist,89.932
15.5570,maxon,right_wrist,-89.932
15.5668,maxon,left_wrist,89.857
15.5670,maxon,right_wrist,-89.857
15.5767,maxon,left_wrist,89.782
15.5770,maxon,right_wrist,-89.782
15.5865,maxon,left_wrist,89.706
15.5869,maxon,right_wrist,-89.706
15.5967,maxon,left_wrist,89.631
15.5970,maxon,right_wrist,-89.631
15.6072,maxon,left_wrist,89.556
15.6074,maxon,right_wrist,-89.556
15.6170,maxon,left_wrist,89.480
15.6174,maxon,right_wrist,-89.480
15.6268,maxon,left_wrist,89.405
15.6270,maxon,right_wrist,-89.405
15.6369,maxon,left_wrist,89.330
15.6371,maxon,right_wrist,-89.330
15.6468,maxon,left_wrist,89.257
15.6470,maxon,right_wrist,-89.257
15.6569,maxon,left_wrist,89.181
15.6571,maxon,right_wrist,-89.181
15.6669,maxon,left_wrist,89.106
15.6671,maxon,right_wrist,-89.106
15.6728,neck,head,0.000
15.6728,neck,head_2,0.000
15.6765,maxon,left_wrist,89.031
15.6769,maxon,right_wrist,-89.031
15.6864,maxon,left_wrist,88.955
15.6868,maxon,right_wrist,-88.955
15.6969,maxon,left_wrist,88.880
15.6971,maxon,right_wrist,-88.880
15.7068,maxon,left_wrist,88.805
15.7070,maxon,right_wrist,-88.805
15.7168,maxon,left_wrist,88.729
15.7169,maxon,right_wrist,-88.729
15.7270,maxon,left_wrist,88.657
15.7271,maxon,right_wrist,-88.657
15.7367,maxon,left_wrist,88.581
15.7370,maxon,right_wrist,-88.581
15.7464,maxon,left_wrist,88.506
15.7467,maxon,right_wrist,-88.506
15.7568,maxon,left_wrist,88.431
15.7571,maxon,right_wrist,-88.431
15.7668,maxon,left_wrist,88.355
15.7671,maxon,right_wrist,-88.355
15.7768,maxon,left_wrist,88.280
15.7772,maxon,right_wrist,-88.280
15.7868,maxon,left_wrist,88.205
15.7871,maxon,right_wrist,-88.205
15.7967,maxon,left_wrist,88.129
15.7969,maxon,right_wrist,-88.129
15.8068,maxon,left_wrist,88.054
15.8071,maxon,right_wrist,-88.054
15.8169,maxon,left_wrist,87.981
15.8172,maxon,right_wrist,-87.981
15.8265,maxon,left_wrist,87.906
15.8268,maxon,right_wrist,-87.906
15.8364,maxon,left_wrist,87.830
15.8369,maxon,right_wrist,-87.830
15.8467,maxon,left_wrist,87.755
15.8469,maxon,right_wrist,-87.755
15.8569,maxon,left_wrist,87.680
15.8571,maxon,right_wrist,-87.680
15.8671,maxon,left_wrist,87.604
15.8673,maxon,right_wrist,-87.604
15.8768,maxon,left_wrist,87.529
15.8772,maxon,right_wrist,-87.529
15.8871,maxon,left_wrist,87.454
15.8873,maxon,right_wrist,-87.454
15.8970,maxon,left_wrist,87.378
15.8973,maxon,right_wrist,-87.378
15.9070,maxon,left_wrist,87.306
15.9073,maxon,right_wrist,-87.306
15.9168,maxon,left_wrist,87.230
15.9170,maxon,right_wrist,-87.230
15.9268,maxon,left_wrist,87.155
15.9271,maxon,right_wrist,-87.155
15.9368,maxon,left_wrist,87.080
15.9370,maxon,right_wrist,-87.080
15.9470,maxon,left_wrist,87.004
15.9472,maxon,right_wrist,-87.004
15.9565,maxon,left_wrist,86.929
15.9570,maxon,right_wrist,-86.929
15.9673,maxon,left_wrist,86.854
15.9677,maxon,right_wrist,-86.854
15.9765,maxon,left_wrist,86.778
15.9770,maxon,right_wrist,-86.778
15.9869,maxon,left_wrist,86.703
15.9872,maxon,right_wrist,-86.703
15.9969,maxon,left_wrist,86.630
15.9971,maxon,right_wrist,-86.630
16.0069,maxon,left_wrist,86.555
16.0071,maxon,right_wrist,-86.555
16.0171,maxon,left_wrist,86.479
16.0173,maxon,right_wrist,-86.479
16.0265,maxon,left_wrist,86.404
16.0269,maxon,right_wrist,-86.404
16.0367,maxon,left_wrist,86.329
16.0371,maxon,right_wrist,-86.329
16.0470,maxon,left_wrist,86.253
16.0472,maxon,right_wrist,-86.253
16.0565,maxon,left_wrist,86.178
16.0569,maxon,right_wrist,-86.178
16.0669,maxon,left_wrist,86.103
16.0671,maxon,right_wrist,-86.103
16.0765,maxon,left_wrist,86.027
16.0769,maxon,right_wrist,-86.027
16.0868,maxon,left_wrist,85.955
16.0870,maxon,right_wrist,-85.955
16.0970,maxon,left_wrist,85.879
16.0972,maxon,right_wrist,-85.879
16.1069,maxon,left_wrist,85.804
16.1072,maxon,right_wrist,-85.804
16.1166,maxon,left_wrist,85.729
16.1169,maxon,right_wrist,-85.729
16.1271,maxon,left_wrist,85.653
16.1273,maxon,right_wrist,-85.653
16.1368,maxon,left_wrist,85.578
16.1371,maxon,right_wrist,-85.578
16.1470,maxon,left_wrist,85.503
16.1472,maxon,right_wrist,-85.503
16.1568,maxon,left_wrist,85.427
16.1570,maxon,right_wrist,-85.427
16.1670,maxon,left_wrist,85.354
16.1672,maxon,right_wrist,-85.354
16.1771,maxon,left_wrist,85.279
16.1773,maxon,right_wrist,-85.279
16.1870,maxon,left_wrist,85.204
16.1872,maxon,right_wrist,-85.204
16.1967,maxon,left_wrist,85.128
16.1970,maxon,right_wrist,-85.128
16.2070,maxon,left_wrist,85.053
16.2072,maxon,right_wrist,-85.053
16.2170,maxon,left_wrist,84.978
16.2172,maxon,right_wrist,-84.978
16.2269,maxon,left_wrist,84.902
16.2271,maxon,right_wrist,-84.902
16.2370,maxon,left_wrist,84.827
16.2373,maxon,right_wrist,-84.827
16.2472,maxon,left_wrist,84.752
16.2474,maxon,right_wrist,-84.752
16.2569,maxon,left_wrist,84.679
16.2571,maxon,right_wrist,-84.679
16.2673,maxon,left_wrist,84.604
16.2676,maxon,right_wrist,-84.604
16.2769,maxon,left_wrist,84.528
16.2772,maxon,right_wrist,-84.528
16.2869,maxon,left_wrist,84.453
16.2871,maxon,right_wrist,-84.453
16.2969,maxon,left_wrist,84.378
16.2970,maxon,right_wrist,-84.378
16.3067,maxon,left_wrist,84.302
16.3070,maxon,right_wrist,-84.302
16.3167,maxon,left_wrist,84.227
16.3170,maxon,right_wrist,-84.227
16.3267,maxon,left_wrist,84.152
16.3270,maxon,right_wrist,-84.152
16.3368,maxon,left_wrist,84.076
16.3371,maxon,right_wrist,-84.076
16.3468,maxon,left_wrist,84.003
16.3470,maxon,right_wrist,-84.003
16.3569,maxon,left_wrist,83.928
16.3570,maxon,right_wrist,-83.928
16.3668,maxon,left_wrist,83.853
16.3671,maxon,right_wrist,-83.853
16.3770,maxon,left_wrist,83.777
16.3772,maxon,right_wrist,-83.777
16.3868,maxon,left_wrist,83.702
16.3871,maxon,right_wrist,-83.702
16.3970,maxon,left_wrist,83.627
16.3972,maxon,right_wrist,-83.627
16.4068,maxon,left_wrist,83.551
16.4071,maxon,right_wrist,-83.551
16.4169,maxon,left_wrist,83.476
16.4173,maxon,right_wrist,-83.476
16.4266,maxon,left_wrist,83.401
16.4269,maxon,right_wrist,-83.401
16.4367,maxon,left_wrist,83.328
16.4371,maxon,right_wrist,-83.328
16.4466,maxon,left_wrist,83.253
16.4470,maxon,right_wrist,-83.253
16.4570,maxon,left_wrist,83.177
16.4572,maxon,right_wrist,-83.177
16.4670,maxon,left_wrist,83.102
16.4672,maxon,right_wrist,-83.102
16.4770,maxon,left_wrist,83.027
16.4772,maxon,right_wrist,-83.027
16.4864,maxon,left_wrist,82.951
16.4868,maxon,right_wrist,-82.951
