elapsed_s,stream,joint,deg
14.3634,maxon,pedal_left,0.000
14.3640,maxon,left_wrist,90.000
14.3643,maxon,pedal_right,0.000
14.3645,maxon,right_wrist,-90.000
14.3722,arm,left_shoulder_1,90.000
14.3722,arm,left_shoulder_2,0.000
14.3722,arm,left_elbow,-90.000
14.3722,arm,waist_joint,10.000
14.3722,arm,right_shoulder_1,90.000
14.3722,arm,right_shoulder_2,0.000
14.3722,arm,right_elbow,90.000
15.3679,maxon,left_wrist,89.932
15.3681,maxon,right_wrist,-89.932
15.3773,maxon,left_wrist,89.857
15.3777,maxon,right_wrist,-89.857
15.3878,maxon,left_wrist,89.782
15.3880,maxon,right_wrist,-89.782
15.3972,maxon,left_wrist,89.706
15.3974,maxon,right_wrist,-89.706
15.4075,maxon,left_wrist,89.631
15.4077,maxon,right_wrist,-89.631
15.4175,maxon,left_wrist,89.556
15.4179,maxon,right_wrist,-89.556
15.4274,maxon,left_wrist,89.480
15.4278,maxon,right_wrist,-89.480
15.4374,maxon,left_wrist,89.405
15.4377,maxon,right_wrist,-89.405
15.4475,maxon,left_wrist,89.330
15.4478,maxon,right_wrist,-89.330
15.4578,maxon,left_wrist,89.257
15.4580,maxon,right_wrist,-89.257
15.4675,maxon,left_wrist,89.181
15.4681,maxon,right_wrist,-89.181
15.4773,maxon,left_wrist,89.106
15.4776,maxon,right_wrist,-89.106
15.4838,neck,head,0.000
15.4838,neck,head_2,0.000
15.4878,maxon,left_wrist,89.031
15.4879,maxon,right_wrist,-89.031
15.4978,maxon,left_wrist,88.955
15.4980,maxon,right_wrist,-88.955
15.5074,maxon,left_wrist,88.880
15.5078,maxon,right_wrist,-88.880
15.5179,maxon,left_wrist,88.805
15.5181,maxon,right_wrist,-88.805
15.5274,maxon,left_wrist,88.729
15.5278,maxon,right_wrist,-88.729
15.5376,maxon,left_wrist,88.657
15.5379,maxon,right_wrist,-88.657
15.5477,maxon,left_wrist,88.581
15.5480,maxon,right_wrist,-88.581
15.5576,maxon,left_wrist,88.506
15.5578,maxon,right_wrist,-88.506
15.5679,maxon,left_wrist,88.431
15.5681,maxon,right_wrist,-88.431
15.5776,maxon,left_wrist,88.355
15.5778,maxon,right_wrist,-88.355
15.5879,maxon,left_wrist,88.280
15.5881,maxon,right_wrist,-88.280
15.5976,maxon,left_wrist,88.205
15.5979,maxon,right_wrist,-88.205
15.6072,maxon,left_wrist,88.129
15.6075,maxon,right_wrist,-88.129
15.6174,maxon,left_wrist,88.054
15.6180,maxon,right_wrist,-88.054
15.6275,maxon,left_wrist,87.981
15.6278,maxon,right_wrist,-87.981
15.6376,maxon,left_wrist,87.906
15.6379,maxon,right_wrist,-87.906
15.6476,maxon,left_wrist,87.830
15.6478,maxon,right_wrist,-87.830
15.6576,maxon,left_wrist,87.755
15.6579,maxon,right_wrist,-87.755
15.6672,maxon,left_wrist,87.680
